GaitID
1
GaitRate
30
GaitDescription
\u521d\u59cb\u96f6\u70b9
zero_point
0,0,0,0,-7,0,0,-12,9,0,0,4,0,0,0,10,0,0,0,0,0,0,20,0,0
Gait_Frame
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
0,0,0,0,0,0,0,0,0,0,0,-46,0,0,-15,93,0,0,-48,0,0,0,85,0,0,30
0,0,0,84,4,-123,0,84,-4,-123,0,-55,0,0,54,59,0,0,-56,0,0,57,61,0,0,30
0,0,0,84,4,-123,0,84,-4,-123,0,-88,0,0,81,47,0,0,-88,0,0,81,47,0,0,30
0,0,0,84,4,-57,0,84,-4,-57,0,-101,0,0,89,36,0,0,-101,0,0,89,36,0,0,30
0,0,0,115,4,-71,0,115,-4,-71,0,-2,0,0,100,-21,0,0,-1,0,0,105,-16,0,0,30
0,0,0,131,4,-59,0,131,-4,-59,0,61,0,0,82,-40,0,0,61,0,0,82,-40,0,0,30
0,0,0,131,4,-57,0,131,-4,-57,0,63,0,0,87,-57,0,0,64,0,0,89,-56,0,0,30
0,0,0,131,4,-57,0,131,-4,-57,0,19,0,0,87,-66,0,0,19,0,0,89,-66,0,0,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,-35,0,0,0,0,0,42,-35,0,0,60
